% Households: High GRAPI,% Vacancy,% Renter-Occupied,% With Mortgage,% Households: High Mortgage,% Households: Multiunit,% Households: $500k+ Value,Region
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,Lower % Multiunit,Fewer Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Northeast
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,West
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,More % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Lower % Multiunit,Fewer Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,West
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Lower % Multiunit,Fewer Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Fewer Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
More Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Lower % Multiunit,Fewer Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Fewer Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Lower % Multiunit,Fewer Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,More % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
More Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Low Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
More Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
More Households with High Rent:Income Ratio,Low Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Lower % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Low Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
More Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
Moderate Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,Northeast
More Households with High Rent:Income Ratio,Low Vacancy,Moderate Renter-Occupied,More Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,More Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Lower Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,High Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Lower % Multiunit,Moderate Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Fewer Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,West
Fewer Households with High Rent:Income Ratio,Low Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
More Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,High Vacancy,Lower Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Low Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Lower Households with Mortgage %,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,South
Fewer Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Lower Households with Mortgage %,Fewer Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Low Vacancy,Moderate Renter-Occupied,Moderate Households with Mortgage,Fewer Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,Midwest
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,Moderate Homes with Expensive Value,South
More Households with High Rent:Income Ratio,Low Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,West
Moderate Households with High Rent:Income Ratio,Medium Vacancy,Moderate Renter-Occupied,Lower Households with Mortgage %,Moderate Household with High Mortgage:Income Ratio,Moderate % Multiunit,More Homes with Expensive Value,Northeast
Moderate Households with High Rent:Income Ratio,Medium Vacancy,High Renter-Occupied,Moderate Households with Mortgage,More Household with High Mortgage:Income Ratio,More % Multiunit,More Homes with Expensive Value,Northeast
